Br,CustName,Item Code,Item Desc,Specification,Strength,Pack Size,Jan,Jan Foc,Feb,Feb Foc,Mar,Mar Foc,Apr,Apr Foc,May,May Foc,Jun,Jun Foc,Jul,Jul Foc,Aug,Aug Foc,Sep,Sep Foc,Oct,Oct Foc,Nov,Nov Foc,Dec,Dec Foc
001,Ruwi Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
003,Al Gobra (Pharmacy) Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,0,0,10,0,28,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
006,Muttrah Souq  Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
007,Al Hamra Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,2,0,6,0,10,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
008,Medinat Qaboos Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009,Sohar Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,0,0,10,0,0,0,4,0,2,0,10,0,5,0,3,0,0,0,0,0,0,0,0,0
010,Nizwa Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,0,0,28,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011,Khasab (Musandam) Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,11,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012,Musanna Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,0,0,5,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
018,Darsait Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,6,0,0,0,2,0,3,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
024,Greater Muttrah Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
025,Qurum  Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
026,Wadi Kabir Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
029,Saham Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,0,0,0,0,0,0,0,0,11,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
032,Al Khuwair Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,12,0,6,0,5,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
033,Al Kamel Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,13.5,0,0,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
034,Al Suwaiq  Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,3,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
038,Al Bidayah Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,6,0,22,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
039,Seeb Branch,007490005,APHROVIT,EFFERVESCENT TABLETS,,20S,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
